user_id,user_name,email,total_bookings,favourite_venue,favourite_time,favourite_day,prefers_weekend,avg_spend,preferred_payment
1,User1,user1@gmail.com,115,Colombo Sports Arena,evening,Sunday,0,1283.48,cash
2,User2,user2@gmail.com,115,Colombo Sports Arena,evening,Sunday,0,1322.61,cash
3,User3,user3@gmail.com,108,Colombo Sports Arena,afternoon,Saturday,0,1278.7,cash
4,User4,user4@gmail.com,104,Colombo Sports Arena,evening,Saturday,0,1309.62,cash
5,User5,user5@gmail.com,104,Colombo Sports Arena,evening,Sunday,0,1318.27,cash
6,User6,user6@gmail.com,120,Colombo Sports Arena,evening,Saturday,0,1270.83,cash
7,User7,user7@gmail.com,124,Colombo Sports Arena,afternoon,Sunday,0,1299.19,cash
8,User8,user8@gmail.com,100,Colombo Sports Arena,evening,Saturday,0,1281.0,cash
9,User9,user9@gmail.com,127,Colombo Sports Arena,evening,Saturday,0,1297.64,cash
10,User10,user10@gmail.com,106,Colombo Sports Arena,evening,Sunday,0,1268.87,cash
11,User11,user11@gmail.com,116,Colombo Sports Arena,evening,Saturday,0,1314.66,cash
12,User12,user12@gmail.com,111,Colombo Sports Arena,evening,Saturday,0,1317.12,cash
13,User13,user13@gmail.com,118,Colombo Sports Arena,evening,Monday,0,1293.22,cash
14,User14,user14@gmail.com,125,Colombo Sports Arena,evening,Monday,0,1289.6,cash
15,User15,user15@gmail.com,95,Colombo Sports Arena,afternoon,Sunday,0,1330.53,cash
16,User16,user16@gmail.com,119,Colombo Sports Arena,evening,Saturday,0,1304.2,cash
17,User17,user17@gmail.com,108,Colombo Sports Arena,evening,Wednesday,0,1301.85,cash
18,User18,user18@gmail.com,108,Colombo Sports Arena,afternoon,Thursday,0,1300.0,cash
19,User19,user19@gmail.com,120,Colombo Sports Arena,evening,Saturday,0,1303.33,cash
20,User20,user20@gmail.com,109,Colombo Sports Arena,evening,Sunday,0,1316.51,cash
21,User21,user21@gmail.com,105,Colombo Sports Arena,evening,Sunday,0,1337.14,cash
22,User22,user22@gmail.com,111,Colombo Sports Arena,evening,Sunday,0,1285.59,cash
23,User23,user23@gmail.com,102,Colombo Sports Arena,afternoon,Monday,0,1289.22,cash
24,User24,user24@gmail.com,123,Colombo Sports Arena,evening,Sunday,0,1291.87,cash
25,User25,user25@gmail.com,109,Colombo Sports Arena,evening,Saturday,0,1293.58,cash
26,User26,user26@gmail.com,119,Colombo Sports Arena,evening,Saturday,0,1309.24,cash
27,User27,user27@gmail.com,117,Colombo Sports Arena,evening,Saturday,0,1343.59,cash
28,User28,user28@gmail.com,111,Colombo Sports Arena,evening,Saturday,0,1308.11,cash
29,User29,user29@gmail.com,131,Colombo Sports Arena,evening,Sunday,0,1303.82,cash
30,User30,user30@gmail.com,109,Colombo Sports Arena,evening,Sunday,0,1318.35,cash
31,User31,user31@gmail.com,103,Colombo Sports Arena,evening,Sunday,0,1293.2,cash
32,User32,user32@gmail.com,112,Colombo Sports Arena,evening,Friday,0,1283.04,cash
33,User33,user33@gmail.com,110,Colombo Sports Arena,afternoon,Sunday,0,1290.91,cash
34,User34,user34@gmail.com,97,Colombo Sports Arena,evening,Sunday,0,1310.31,online
35,User35,user35@gmail.com,118,Colombo Sports Arena,evening,Saturday,0,1303.39,cash
36,User36,user36@gmail.com,119,Colombo Sports Arena,evening,Sunday,0,1287.39,cash
37,User37,user37@gmail.com,138,Colombo Sports Arena,evening,Sunday,0,1292.03,cash
38,User38,user38@gmail.com,105,Colombo Sports Arena,evening,Sunday,0,1317.14,cash
39,User39,user39@gmail.com,98,Colombo Sports Arena,afternoon,Sunday,0,1318.37,cash
40,User40,user40@gmail.com,101,Colombo Sports Arena,morning,Sunday,0,1327.72,cash
41,User41,user41@gmail.com,97,Colombo Sports Arena,evening,Monday,0,1276.29,cash
42,User42,user42@gmail.com,114,Colombo Sports Arena,evening,Sunday,0,1316.67,cash
43,User43,user43@gmail.com,130,Colombo Sports Arena,evening,Sunday,0,1306.92,cash
44,User44,user44@gmail.com,124,Colombo Sports Arena,afternoon,Sunday,0,1322.58,cash
45,User45,user45@gmail.com,105,Colombo Sports Arena,evening,Saturday,0,1293.33,cash
46,User46,user46@gmail.com,99,Colombo Sports Arena,evening,Sunday,0,1281.82,cash
47,User47,user47@gmail.com,111,Colombo Sports Arena,afternoon,Saturday,0,1327.93,cash
48,User48,user48@gmail.com,117,Colombo Sports Arena,evening,Saturday,0,1313.68,cash
49,User49,user49@gmail.com,113,Colombo Sports Arena,afternoon,Sunday,0,1320.35,cash
50,User50,user50@gmail.com,121,Colombo Sports Arena,evening,Saturday,0,1322.31,cash
